Brand,Category,score_Jan
A1,Cosmetics,19
A2,Cosmetics,15
A3,Cosmetics,22
A4,Cosmetics,28
A5,Cosmetics,26
A6,Cosmetics,24
A7,Cosmetics,35
A8,Cosmetics,28
A9,Cosmetics,21
A10,Cosmetics,34
A11,Cosmetics,39
A12,Cosmetics,28
A13,Cosmetics,23
A14,Cosmetics,13
A15,Cosmetics,25
A16,Auto,17
A17,Auto,37
A18,Auto,15
A19,Auto,24
A20,Auto,16
A21,Auto,18
A22,Auto,12
A23,Auto,29
A24,Auto,24
A25,Auto,10
A26,Auto,23
A27,Auto,16
A28,Banking,37
A29,Banking,9
A30,Banking,35
A31,Banking,28
A32,Banking,61
A33,Banking,70
A34,Banking,19
A35,Banking,30
A36,Banking,58
A37,Banking,39
A38,Banking,56
A39,Banking,56
A40,Banking,23
A41,Banking,63
A42,Banking,43
A43,Banking,44
A44,Banking,21
A45,Banking,67
A46,Banking,35
